Date,Time,Item,Price,Quantity,Total,Customer ID,Payment Method,Employee ID,Customer Satisfaction,Weather,Special Offers
2024-04-01,12:15,Sandwich,4.5,2,9,1,Cash,101,4,Sunny,Yes
2024-04-01,12:30,Drink,1.5,1,1.5,2,Card,102,3,Sunny,No
2024-04-01,12:45,Salad,5,1,5,3,Mobile Payment,103,5,Cloudy,Yes
2024-04-01,13:00,Burger,5.5,1,5.5,4,Cash,104,4,Sunny,No
2024-04-01,13:15,Sandwich,4.5,1,4.5,5,Card,105,3,Sunny,Yes
2024-04-01,13:30,Drink,1.5,2,3,6,Mobile Payment,106,5,Cloudy,No
2024-04-01,13:45,Salad,5,1,5,7,Cash,107,4,Rainy,Yes
2024-04-01,14:00,Burger,5.5,2,11,8,Card,108,3,Sunny,No
2024-04-02,12:00,Sandwich,4.5,1,4.5,9,Mobile Payment,109,5,Rainy,Yes
2024-04-02,12:15,Drink,1.5,1,1.5,10,Cash,110,4,Sunny,No
2024-04-02,12:30,Salad,5,2,10,11,Card,111,3,Cloudy,Yes
2024-04-02,12:45,Burger,5.5,1,5.5,12,Mobile Payment,112,5,Rainy,No
2024-04-02,13:00,Sandwich,4.5,2,9,13,Cash,113,4,Sunny,Yes
2024-04-02,13:15,Drink,1.5,1,1.5,14,Card,114,3,Cloudy,No
2024-04-02,13:30,Salad,5,1,5,15,Mobile Payment,115,5,Sunny,Yes
2024-04-02,13:45,Burger,5.5,1,5.5,16,Cash,116,4,Rainy,No
2024-04-03,12:00,Sandwich,4.5,1,4.5,17,Card,117,3,Sunny,No
2024-04-03,12:15,Drink,1.5,2,3,18,Mobile Payment,118,4,Cloudy,Yes
2024-04-03,12:30,Salad,5,1,5,19,Cash,119,5,Rainy,No
2024-04-03,12:45,Burger,5.5,1,5.5,20,Card,120,4,Sunny,Yes
2024-04-03,13:00,Sandwich,4.5,2,9,21,Mobile Payment,121,3,Cloudy,No
2024-04-03,13:15,Drink,1.5,1,1.5,22,Cash,122,5,Sunny,Yes
2024-04-03,13:30,Salad,5,1,5,23,Card,123,4,Rainy,No
2024-04-03,13:45,Burger,5.5,2,11,24,Mobile Payment,124,3,Sunny,Yes
2024-04-04,12:00,Sandwich,4.5,1,4.5,25,Cash,125,5,Cloudy,No
2024-04-04,12:15,Drink,1.5,1,1.5,26,Card,126,4,Rainy,Yes
2024-04-04,12:30,Salad,5,2,10,27,Mobile Payment,127,3,Sunny,No
2024-04-04,12:45,Burger,5.5,1,5.5,28,Cash,128,5,Cloudy,Yes
2024-04-04,13:00,Sandwich,4.5,2,9,29,Card,129,4,Rainy,No
2024-04-04,13:15,Drink,1.5,1,1.5,30,Mobile Payment,130,3,Sunny,Yes
2024-04-04,13:30,Salad,5,1,5,31,Cash,131,5,Cloudy,No
2024-04-04,13:45,Burger,5.5,1,5.5,32,Card,132,4,Rainy,Yes
2024-04-05,12:00,Sandwich,4.5,2,9,33,Mobile Payment,133,3,Sunny,No
2024-04-05,12:15,Drink,1.5,1,1.5,34,Cash,134,4,Cloudy,Yes
2024-04-05,12:30,Salad,5,1,5,35,Card,135,5,Rainy,No
2024-04-05,12:45,Burger,5.5,2,11,36,Mobile Payment,136,3,Sunny,Yes
2024-04-05,13:00,Sandwich,4.5,1,4.5,37,Cash,137,4,Cloudy,No
2024-04-05,13:15,Drink,1.5,1,1.5,38,Card,138,5,Rainy,Yes
2024-04-05,13:30,Salad,5,2,10,39,Mobile Payment,139,3,Sunny,No
2024-04-05,13:45,Burger,5.5,1,5.5,40,Cash,140,4,Cloudy,Yes
